0, Herz, Bube
116, Kreuz, 5
117, Herz, 7
118, Karo, 5
119, Herz, Dame
120, Kreuz, 4
121, Herz, 5
122, Kreuz, 5
123, Herz, 3
124, Kreuz, 10
125, Pik, 4
126, Pik, Dame
127, Karo, 5
128, Karo, König
129, Kreuz, 5
130, Pik, 9
131, Kreuz, 10
132, Herz, 10
133, Karo, Bube
134, Herz, 5
135, Kreuz, 3
136, Kreuz, 9
137, Karo, 6
138, Kreuz, 8
139, Kreuz, 5
140, Kreuz, 6
141, Pik, 3
142, Pik, Dame
143, Pik, 7
144, Karo, 9
145, Kreuz, 3
146, Herz, 5
147, Kreuz, 2
148, Karo, 7
149, Pik, 10
150, Pik, 4
151, Pik, 9
152, Karo, As
153, Karo, 10
154, Herz, Dame
155, Herz, 2
156, Herz, As
157, Kreuz, 4
158, Kreuz, 6
159, Karo, 8
160, Herz, 6
161, Karo, Bube
162, Kreuz, 2
163, Herz, 8
164, Herz, As
165, Karo, 8
166, Herz, As
167, Pik, König
168, Pik, 9
169, Pik, Bube
170, Kreuz, 9
171, Kreuz, As
172, Herz, 6
173, Pik, Bube
174, Kreuz, 4
175, Herz, 4
176, Kreuz, 4
177, Herz, 3
178, Karo, 6
179, Herz, Dame
180, Herz, 5
181, Pik, 4
182, Kreuz, 3
183, Karo, 8
184, Kreuz, 7
185, Karo, Bube
186, Pik, 5
187, Kreuz, Dame
188, Kreuz, 3
189, Karo, 5
190, Karo, 2
191, Herz, Dame
192, Herz, 10
193, Herz, 5
194, Kreuz, As
195, Karo, 2
196, Kreuz, 2
197, Kreuz, As
198, Karo, Dame
199, Pik, 9
200, Karo, 3
201, Karo, 7
202, Kreuz, Dame
203, Karo, Bube
204, Pik, Dame
205, Karo, 10
206, Herz, 4
207, Karo, Dame
208, Herz, 6
209, Karo, König
210, Pik, 6
211, Kreuz, 10
212, Karo, 4
213, Karo, 5
214, Karo, 2
215, Karo, As
216, Karo, 2
217, Karo, 10
218, Kreuz, 7
219, Herz, 10
220, Karo, 7
221, Pik, 4
222, Kreuz, 9
223, Kreuz, 5
224, Karo, Bube
225, Kreuz, Bube
226, Karo, 4
227, Herz, König
228, Kreuz, 2
229, Pik, Bube
230, Herz, 8
231, Herz, Dame
232, Kreuz, Bube
233, Karo, 5
234, Herz, 3
235, Karo, 2
236, Kreuz, 6
237, Herz, 6
238, Karo, 8
239, Pik, 4
240, Herz, 2
241, Karo, 9
242, Herz, 10
243, Karo, 3
244, Karo, Dame
245, Kreuz, 8
246, Kreuz, 10
247, Pik, 10
248, Kreuz, Dame
249, Pik, As
250, Karo, König
251, Karo, 9
252, Herz, König
253, Kreuz, 6
254, Karo, 9
255, Karo, 5
256, Herz, Dame
257, Herz, 5
258, Herz, 5
259, Kreuz, As
260, Karo, König
261, Karo, 5
262, Karo, 7
263, Herz, As
264, Pik, 6
265, Kreuz, 10
266, Herz, 3
267, Kreuz, 8
268, Kreuz, Dame
269, Karo, 10
270, Kreuz, Dame
271, Herz, König
272, Karo, 5
273, Kreuz, 3
274, Pik, 7
275, Pik, 9
276, Pik, König
277, Kreuz, 7
278, Karo, 2
279, Kreuz, 5
280, Karo, 9
281, Kreuz, Bube
282, Herz, König
283, Karo, As
284, Karo, Dame
285, Herz, 9
286, Kreuz, König
287, Karo, 6
288, Herz, Dame
289, Herz, 9
290, Pik, 7
291, Pik, 4
292, Herz, As
293, Karo, 6
294, Karo, 10
295, Karo, 9
296, Karo, 2
297, Pik, 3
298, Herz, 4
299, Pik, 8
300, Herz, As
301, Pik, Bube
302, Herz, 2
303, Pik, 4
304, Pik, König
305, Kreuz, As
306, Kreuz, Bube
307, Pik, Dame
308, Pik, Bube
309, Karo, 5
310, Kreuz, 3
311, Kreuz, 3
312, Herz, 4
313, Herz, König
314, Kreuz, 9
315, Pik, 6
316, Kreuz, 4
317, Kreuz, Dame
318, Pik, Bube
319, Herz, As
320, Kreuz, 6
321, Pik, Bube
322, Kreuz, König
323, Kreuz, 7
324, Karo, 3
325, Kreuz, 6
326, Pik, 2
327, Kreuz, 7
328, Herz, 8
329, Kreuz, König
330, Kreuz, Dame
331, Pik, As
332, Kreuz, As
333, Herz, 9
334, Herz, 10
335, Pik, 5
336, Kreuz, 8
337, Karo, Bube
338, Kreuz, 7
339, Karo, Dame
340, Herz, 4
341, Karo, 7
342, Karo, Bube
343, Herz, 10
344, Karo, 8
345, Kreuz, König
346, Karo, 5
347, Herz, As
348, Herz, 3
349, Karo, 8
350, Kreuz, 9
351, Herz, Dame
352, Pik, Bube
353, Kreuz, König
354, Kreuz, As
355, Kreuz, Bube
356, Karo, 3
357, Pik, Bube
358, Karo, 6
359, Herz, 10
360, Pik, 2
361, Herz, 10
362, Herz, 10
363, Pik, 9
364, Pik, 7
365, Pik, Bube
366, Kreuz, 8
367, Kreuz, 3
368, Kreuz, Bube
369, Pik, As
370, Karo, Dame
371, Kreuz, 3
372, Karo, 10
373, Kreuz, 7
374, Karo, König
375, Herz, 8
376, Karo, 9
377, Kreuz, 10
378, Herz, 5
379, Pik, 8
380, Pik, 8
381, Kreuz, 8
382, Pik, Bube
383, Karo, König
384, Herz, 8
385, Karo, König
386, Pik, 7
387, Karo, 7
388, Pik, König
389, Kreuz, Dame
390, Kreuz, Bube
391, Kreuz, 10
392, Herz, As
393, Kreuz, 5
394, Herz, 7
395, Herz, 2
396, Pik, 6
397, Herz, Bube
398, Pik, 3
399, Pik, 5
400, Kreuz, 3
401, Karo, Bube
402, Karo, 8
403, Herz, 10
404, Kreuz, Bube
405, Herz, 2
406, Herz, 10
407, Pik, Bube
408, Kreuz, As
409, Herz, Bube
410, Pik, 10
411, Karo, 10
412, Karo, 8
413, Pik, Bube
414, Karo, 5
415, Karo, König
416, Karo, 6
417, Pik, Bube
418, Herz, 3
419, Karo, 6
420, Kreuz, 3
421, Herz, As
422, Pik, 8
423, Kreuz, As
424, Pik, 6
425, Herz, 4
426, Herz, 10
427, Pik, 5
428, Karo, Dame
429, Herz, 4
430, Pik, 2
431, Kreuz, 5
432, Kreuz, König
433, Kreuz, 3
434, Herz, 7
435, Herz, 10
436, Pik, Bube
437, Pik, 10
438, Herz, 10
439, Pik, 10
440, Pik, Bube
441, Karo, 7
442, Kreuz, 10
443, Karo, Bube
444, Karo, 8
445, Karo, Bube
446, Herz, As
447, Pik, Bube
448, Herz, 6
449, Herz, Bube
450, Kreuz, Dame
451, Pik, König
452, Karo, As
453, Herz, 5
454, Pik, 7
455, Pik, 7
456, Herz, 8
457, Herz, 7
458, Herz, 4
459, Herz, 6
460, Kreuz, 8
461, Herz, 2
462, Kreuz, Bube
463, Herz, 6
464, Kreuz, 3
465, Pik, 3
466, Kreuz, 6
467, Karo, 10
468, Kreuz, 6
469, Kreuz, 5
470, Pik, As
471, Karo, 10
472, Pik, Bube
473, Pik, 6
474, Herz, 6
475, Pik, 10
476, Karo, 9
477, Pik, 5
478, Karo, As
479, Karo, Bube
480, Karo, As
481, Kreuz, 8
482, Pik, Bube
483, Pik, 6
484, Herz, 6
485, Pik, Dame
486, Karo, 2
487, Karo, 6
488, Herz, 2
489, Herz, As
490, Herz, König
491, Pik, König
492, Herz, 6
493, Pik, 7
494, Herz, Dame
495, Karo, 4
496, Karo, 3
497, Pik, 4
498, Karo, Bube
499, Herz, König
500, Herz, 10
501, Pik, 9
502, Karo, 8
503, Kreuz, 7
504, Pik, 9
505, Pik, Dame
506, Herz, Bube
507, Pik, 2
508, Herz, 5
509, Pik, 5
510, Herz, 8
511, Kreuz, Bube
512, Pik, 7
513, Kreuz, 4
514, Kreuz, 3
515, Herz, Bube
516, Herz, 3
517, Kreuz, 10
518, Pik, 8
519, Karo, Dame
520, Kreuz, König
521, Kreuz, 7
522, Karo, 5
523, Kreuz, König
524, Pik, 8
525, Karo, 5
526, Pik, 3
527, Pik, 9
528, Kreuz, 4
529, Pik, König
530, Kreuz, 4
531, Karo, 6
532, Pik, 4
533, Pik, 7
534, Herz, Dame
535, Karo, 3
536, Kreuz, 2
537, Kreuz, Dame
538, Herz, Dame
539, Karo, 8
540, Kreuz, As
541, Karo, 2
542, Kreuz, 5
543, Kreuz, As
544, Kreuz, Bube
545, Karo, Bube
546, Karo, 6
547, Pik, 7
548, Kreuz, 6
549, Pik, 6
550, Karo, 2
551, Pik, 8
552, Pik, König
553, Kreuz, As
554, Herz, 4
555, Pik, 9
556, Pik, 7
557, Karo, König
558, Herz, 5
559, Kreuz, As
560, Pik, 7
561, Pik, 10
562, Kreuz, 5
563, Karo, König
564, Kreuz, 3
565, Herz, 10
566, Herz, 10
567, Herz, 9
568, Kreuz, As
569, Herz, 7
570, Karo, 8
571, Pik, Bube
572, Karo, As
573, Kreuz, 6
574, Kreuz, 8
575, Kreuz, Dame
576, Karo, König
577, Pik, Dame
578, Karo, Dame
579, Karo, Dame
580, Pik, 3
581, Herz, Dame
582, Pik, König
583, Pik, 4
584, Kreuz, 5
585, Kreuz, Bube
586, Kreuz, 10
587, Pik, 8
588, Pik, 2
589, Karo, Bube
590, Herz, 4
591, Herz, 4
592, Karo, As
593, Pik, 5
594, Herz, König
595, Pik, 9
596, Karo, 7
597, Kreuz, 6
598, Karo, As
599, Pik, 6
600, Pik, 10
601, Kreuz, 10
602, Kreuz, 7
603, Herz, 9
604, Karo, König
605, Herz, König
606, Kreuz, 3
607, Herz, 4
608, Pik, 2
609, Herz, 5
610, Kreuz, 7
611, Kreuz, Dame
612, Kreuz, 2
613, Pik, 9
614, Pik, 9
615, Herz, 9
616, Pik, 8
617, Herz, 7
618, Kreuz, 2
619, Kreuz, 10
620, Pik, 4
621, Herz, 3
622, Pik, Dame
623, Kreuz, 2
624, Kreuz, 4
625, Kreuz, 10
626, Herz, 6
627, Herz, 9
628, Herz, 3
629, Herz, 3
630, Pik, Dame
631, Karo, As
632, Herz, 10
633, Herz, 2
634, Kreuz, 7
635, Herz, 7
636, Herz, 6
637, Kreuz, Dame
638, Pik, As
639, Karo, 8
640, Herz, 8
641, Pik, 2
642, Pik, 9
643, Herz, König
644, Kreuz, 7
645, Karo, König
646, Kreuz, 3
647, Herz, 2
648, Pik, As
649, Karo, 4
650, Karo, 5
651, Pik, 4
652, Herz, 6
653, Pik, Bube
654, Kreuz, König
655, Kreuz, 2
656, Herz, König
657, Pik, 7
658, Herz, 9
659, Karo, 8
660, Kreuz, 6
661, Pik, 2
662, Herz, 3
663, Karo, As
664, Kreuz, 8
665, Kreuz, 3
666, Kreuz, As
667, Kreuz, 2
668, Karo, 8
669, Herz, Bube
670, Kreuz, Dame
671, Karo, 2
672, Karo, 5
673, Pik, 7
674, Pik, 4
675, Karo, 3
676, Pik, As
677, Kreuz, As
678, Herz, König
679, Herz, König
680, Kreuz, 5
681, Kreuz, 3
682, Pik, 2
683, Pik, Bube
684, Pik, 2
685, Herz, 3
686, Karo, 7
687, Herz, 4
688, Pik, 4
689, Herz, 9
690, Karo, 4
691, Karo, 7
692, Kreuz, 8
693, Pik, 3
694, Pik, 2
695, Pik, 6
696, Herz, 6
697, Pik, 9
698, Pik, 7
699, Kreuz, 3
700, Kreuz, 3
701, Herz, König
702, Herz, Dame
703, Herz, As
704, Karo, 10
705, Karo, 3
706, Pik, 3
707, Karo, 10
708, Herz, 9
709, Karo, As
710, Pik, 4
711, Karo, 6
712, Pik, 7
713, Pik, 2
714, Karo, König
715, Kreuz, 2
716, Kreuz, 2
717, Pik, As
718, Karo, 9
719, Herz, 4
720, Pik, 4
721, Pik, 7
722, Karo, As
723, Pik, 6
724, Pik, 7
725, Pik, 2
726, Herz, Bube
727, Kreuz, 5
728, Pik, 7
729, Pik, 4
730, Pik, 3
731, Pik, König
732, Karo, 10
733, Pik, 6
734, Pik, 5
735, Kreuz, 9
736, Pik, As
737, Pik, 10
738, Pik, 6
739, Herz, 8
740, Karo, König
741, Kreuz, 8
742, Herz, 2
743, Kreuz, 4
744, Pik, 3
745, Kreuz, 2
746, Kreuz, 5
747, Pik, 3
748, Pik, 5
749, Kreuz, 2
750, Herz, As
751, Herz, 9
752, Herz, 7
753, Karo, 10
754, Pik, 6
755, Kreuz, Bube
756, Kreuz, 10
757, Herz, Bube
758, Kreuz, 7
759, Karo, 9
760, Herz, Dame
761, Herz, 4
762, Herz, 7
763, Karo, 2
764, Herz, 8
765, Pik, 5
766, Pik, 2
767, Herz, 3
768, Herz, 4
769, Kreuz, 2
770, Herz, Bube
771, Kreuz, Dame
772, Karo, As
773, Kreuz, 6
774, Kreuz, Bube
775, Herz, 5
776, Karo, 8
777, Pik, 3
778, Herz, 2
779, Karo, 6
780, Pik, 6
781, Kreuz, 4
782, Karo, 10
783, Herz, 4
784, Karo, As
785, Kreuz, 9
786, Pik, 5
787, Pik, 7
788, Pik, 6
789, Kreuz, 4
790, Kreuz, 4
791, Herz, König
792, Herz, 5
793, Karo, 8
794, Kreuz, Dame
795, Kreuz, 2
796, Karo, As
797, Pik, 10
798, Herz, 10
799, Pik, 9
800, Pik, Bube
801, Kreuz, 10
802, Pik, 10
803, Herz, 6
804, Herz, 2
805, Karo, As
806, Karo, 8
807, Pik, 4
808, Herz, Bube
809, Karo, König
810, Karo, 4
811, Karo, 7
812, Kreuz, 5
813, Kreuz, 4
814, Kreuz, 9
815, Pik, König
816, Pik, 7
817, Herz, 7
818, Karo, 2
819, Kreuz, 6
820, Kreuz, Bube
821, Kreuz, Dame
822, Kreuz, 10
823, Karo, 10
824, Pik, Bube
825, Kreuz, 5
826, Kreuz, 8
827, Karo, König
828, Pik, Dame
829, Kreuz, 4
830, Herz, 7
831, Karo, 5
832, Kreuz, Bube
833, Karo, 10
834, Herz, Bube
835, Pik, 2
836, Kreuz, König
837, Karo, 6
838, Pik, As
839, Herz, 2
840, Kreuz, As
841, Karo, 7
842, Kreuz, 6
843, Kreuz, 2
844, Pik, 2
845, Herz, Dame
846, Kreuz, 10
847, Karo, König
848, Kreuz, 4
849, Karo, 3
850, Kreuz, 5
851, Karo, 9
852, Herz, As
853, Pik, 9
854, Pik, 9
855, Karo, 4
856, Pik, Bube
857, Kreuz, 3
858, Kreuz, 2
859, Kreuz, 2
860, Karo, König
861, Herz, 8
862, Karo, 10
863, Karo, 7
864, Pik, 4
865, Kreuz, 9
866, Herz, 7
867, Herz, Bube
868, Pik, As
869, Herz, 9
870, Herz, 7
871, Pik, 4
872, Kreuz, 9
873, Herz, 8
874, Kreuz, 10
875, Kreuz, 6
876, Kreuz, 7
877, Kreuz, 3
878, Herz, 9
879, Kreuz, As
880, Karo, Dame
881, Pik, 3
882, Karo, 9
883, Pik, König
884, Herz, 8
885, Pik, 3
886, Kreuz, 9
887, Kreuz, 5
888, Karo, 10
889, Karo, 5
890, Pik, Dame
891, Herz, 9
892, Pik, Dame
893, Herz, 5
894, Karo, Bube
895, Kreuz, Bube
896, Pik, 7
897, Pik, 7
898, Pik, Bube
899, Kreuz, König
900, Karo, 8
901, Herz, 7
902, Pik, 10
903, Pik, 8
904, Pik, 4
905, Karo, 9
906, Herz, 4
907, Pik, Bube
908, Karo, 7
909, Karo, Dame
910, Karo, 6
911, Herz, Bube
912, Karo, Bube
913, Kreuz, 8
914, Pik, 4
915, Herz, 9
916, Herz, 3
917, Karo, Bube
918, Herz, Dame
919, Karo, Dame
920, Pik, Dame
921, Kreuz, 4
922, Kreuz, As
923, Kreuz, 7
924, Karo, 10
925, Karo, 9
926, Kreuz, 7
927, Karo, 5
928, Karo, 5
929, Karo, Dame
930, Herz, Dame
931, Karo, 3
932, Herz, Bube
933, Kreuz, 5
934, Pik, 6
935, Herz, 7
936, Karo, König
937, Karo, 7
938, Kreuz, Dame
939, Kreuz, 9
940, Karo, 4
941, Karo, Bube
942, Kreuz, 8
943, Herz, 5
944, Karo, Bube
945, Pik, 6
946, Herz, 7
947, Pik, Bube
948, Kreuz, 5
949, Pik, 3
950, Kreuz, 6
951, Karo, 6
952, Herz, 6
953, Karo, Bube
954, Kreuz, Dame
955, Pik, 7
956, Kreuz, 7
957, Herz, Bube
958, Herz, Bube
959, Herz, 2
960, Pik, Dame
961, Karo, König
962, Herz, 10
963, Kreuz, König
964, Karo, As
965, Pik, 5
966, Karo, 2
967, Herz, 7
968, Pik, 7
969, Karo, 9
970, Kreuz, Bube
971, Kreuz, 9
972, Herz, 6
973, Herz, As
974, Karo, König
975, Karo, 3
976, Kreuz, 3
977, Herz, As
978, Pik, 10
979, Kreuz, 8
980, Pik, 2
981, Pik, 10
982, Kreuz, 8
983, Herz, 2
984, Kreuz, König
985, Herz, 5
986, Kreuz, Dame
987, Kreuz, 8
988, Herz, 3
989, Pik, Bube
990, Herz, 8
991, Kreuz, 9
992, Karo, Dame
993, Herz, As
994, Kreuz, 10
995, Pik, 6
996, Herz, Dame
997, Karo, 8
998, Pik, 10
999, Karo, Dame
1000, Herz, 6
1001, Kreuz, 4
1002, Herz, 5
1003, Kreuz, König
1004, Kreuz, As
1005, Herz, 2
1006, Pik, As
1007, Pik, 8
1008, Herz, 10
1009, Pik, 9
1010, Kreuz, Dame
1011, Karo, As
1012, Kreuz, 5
1013, Karo, 6
1014, Herz, 9
1015, Pik, König
1016, Kreuz, 5
1017, Kreuz, 9
1018, Herz, Bube
1019, Pik, As
1020, Pik, König
1021, Pik, 4
1022, Pik, 2
1023, Pik, 10
1024, Kreuz, 6
1025, Pik, 4
1026, Karo, 8
1027, Herz, 9
1028, Kreuz, 5
1029, Kreuz, 7
1030, Kreuz, 2
1031, Kreuz, 3
1032, Kreuz, 5
1033, Pik, Bube
1034, Herz, 4
1035, Kreuz, 5
1036, Herz, 2
1037, Kreuz, As
1038, Pik, 4
1039, Karo, 6
1040, Herz, As
1041, Kreuz, 2
1042, Karo, As
1043, Pik, 9
1044, Pik, König
1045, Herz, 7
1046, Karo, 5
1047, Kreuz, Bube
1048, Kreuz, As
1049, Karo, 8
1050, Pik, König
1051, Karo, 6
1052, Pik, 3
1053, Karo, Bube
1054, Kreuz, Dame
1055, Karo, As
1056, Kreuz, Bube
1057, Kreuz, 2
1058, Kreuz, 9
1059, Karo, Bube
1060, Herz, As
1061, Kreuz, 8
1062, Kreuz, Dame
1063, Herz, 2
1064, Herz, Bube
1065, Karo, 6
1066, Kreuz, König
1067, Herz, 4
1068, Herz, 5
1069, Pik, 7
1070, Pik, As
1071, Karo, Dame
1072, Pik, 6
1073, Pik, 8
1074, Pik, 3
1075, Herz, 4
1076, Karo, 2
1077, Kreuz, 2
1078, Pik, As
1079, Herz, Bube
1080, Herz, As
1081, Herz, Bube
1082, Karo, 5
1083, Herz, 3
1084, Pik, Bube
1085, Pik, Dame
1086, Herz, 5
1087, Karo, 9
1088, Herz, Dame
1089, Karo, 5
1090, Kreuz, Bube
1091, Pik, 6
1092, Kreuz, 5
1093, Karo, Dame
1094, Herz, 2
1095, Kreuz, As
1096, Pik, 9
1097, Kreuz, König
1098, Pik, 8
1099, Herz, 2
1100, Herz, 7
1101, Kreuz, As
1102, Karo, Dame
1103, Karo, Bube
1104, Herz, 7
1105, Herz, 2
1106, Kreuz, Dame
1107, Pik, 6
1108, Karo, 3
1109, Pik, Bube
1110, Pik, 8
1111, Karo, 3
1112, Kreuz, 6
1113, Herz, 2
1114, Kreuz, Bube
1115, Herz, 2
1116, Herz, 4
1117, Karo, 5
1118, Pik, König
1119, Pik, 2
1120, Karo, 2
1121, Karo, 5
1122, Herz, König
1123, Kreuz, 3
1124, Pik, 8
1125, Karo, König
1126, Herz, 8
1127, Kreuz, 8
1128, Kreuz, 4
1129, Karo, 5
1130, Karo, 2
1131, Herz, 6
1132, Pik, 9
1133, Kreuz, 5
1134, Kreuz, 7
1135, Karo, Bube
1136, Kreuz, König
1137, Kreuz, 8
1138, Pik, 10
1139, Karo, As
1140, Pik, As
1141, Kreuz, 7
1142, Kreuz, 10
1143, Karo, Bube
1144, Pik, 2
1145, Karo, 6
1146, Pik, 2
1147, Herz, 3
1148, Herz, Bube
1149, Karo, 3
1150, Kreuz, Dame
1151, Kreuz, 8
1152, Herz, Bube
1153, Karo, König
1154, Pik, As
1155, Pik, 9
1156, Karo, König
1157, Kreuz, 4
1158, Herz, 2
1159, Karo, 9
1160, Karo, 7
1161, Karo, 5
1162, Pik, 9
1163, Kreuz, König
1164, Karo, As
1165, Herz, 2
1166, Pik, 3
1167, Pik, 6
1168, Pik, Bube
1169, Kreuz, 10
1170, Kreuz, 5
1171, Karo, 5
1172, Kreuz, 4
1173, Pik, 9
1174, Karo, 5
1175, Karo, As
1176, Herz, 2
1177, Pik, 5
1178, Herz, 2
1179, Karo, 4
1180, Pik, 10
1181, Kreuz, 3
1182, Pik, 8
1183, Karo, Bube
1184, Pik, 2
1185, Herz, 4
1186, Karo, Dame
1187, Kreuz, Bube
1188, Kreuz, As
1189, Pik, As
1190, Karo, 6
1191, Kreuz, 8
1192, Pik, Dame
1193, Herz, 4
1194, Pik, 6
1195, Karo, 8
1196, Herz, 7
1197, Karo, 7
1198, Karo, Bube
1199, Kreuz, 3
1200, Karo, 10
1201, Kreuz, 7
1202, Kreuz, Bube
1203, Pik, 6
1204, Karo, 4
1205, Kreuz, 7
1206, Herz, 3
1207, Pik, As
1208, Kreuz, König
1209, Kreuz, Dame
1210, Karo, As
1211, Pik, 9
1212, Pik, 2
1213, Karo, 6
1214, Kreuz, 4
1215, Pik, 10
1216, Kreuz, 5
1217, Pik, Bube
1218, Kreuz, As
1219, Herz, 10
1220, Kreuz, 10
1221, Pik, 10
1222, Karo, 8
1223, Herz, 3
1224, Karo, As
1225, Pik, 8
1226, Herz, 3
1227, Karo, 2
1228, Herz, 8
1229, Pik, König
1230, Kreuz, König
1231, Pik, 2
1232, Pik, As
1233, Karo, 5
1234, Pik, 5
1235, Karo, 7
1236, Pik, 2
1237, Pik, 4
1238, Karo, 8
1239, Herz, 10
1240, Pik, 6
1241, Kreuz, 10
1242, Pik, 8
1243, Herz, 9
1244, Herz, 8
1245, Karo, As
1246, Pik, As
1247, Kreuz, As
1248, Herz, König
1249, Karo, 10
1250, Herz, 4
1251, Pik, 5
1252, Herz, 7
1253, Kreuz, Bube
1254, Karo, As
1255, Pik, As
1256, Herz, 6
1257, Kreuz, 7
1258, Pik, As
1259, Pik, 10
1260, Karo, 7
1261, Karo, Dame
1262, Pik, 3
1263, Karo, 6
1264, Herz, 9
1265, Kreuz, Dame
1266, Herz, Bube
1267, Pik, 3
1268, Kreuz, 5
1269, Pik, As
1270, Herz, 3
1271, Kreuz, 5
1272, Kreuz, König
1273, Karo, 8
1274, Pik, Dame
1275, Herz, 6
1276, Kreuz, As
1277, Herz, König
1278, Pik, Dame
1279, Herz, As
1280, Karo, König
1281, Karo, 2
1282, Pik, As
1283, Herz, Dame
1284, Pik, 6
1285, Pik, 5
1286, Pik, 10
1287, Karo, 10
1288, Herz, Bube
1289, Kreuz, Bube
1290, Pik, Bube
1291, Kreuz, 10
1292, Karo, 8
1293, Kreuz, 2
1294, Pik, 2
1295, Pik, Dame
1296, Kreuz, Dame
1297, Kreuz, 8
1298, Kreuz, Dame
1299, Kreuz, Bube
1300, Herz, 6
1301, Pik, 4
1302, Herz, 3
1303, Kreuz, As
1304, Herz, As
1305, Pik, 3
1306, Karo, König
1307, Karo, 9
1308, Kreuz, Bube
1309, Karo, 8
1310, Pik, As
1311, Pik, As
1312, Karo, König
1313, Kreuz, Bube
1314, Herz, 9
1315, Pik, Dame
1316, Karo, 7
1317, Kreuz, 10
1318, Kreuz, 4
1319, Pik, 10
1320, Herz, 4
1321, Herz, 3
1322, Karo, 4
1323, Pik, 2
1324, Karo, 4
1325, Herz, Bube
1326, Herz, 8
1327, Herz, 2
1328, Pik, Dame
1329, Herz, 9
1330, Herz, As
1331, Kreuz, As
1332, Herz, 8
1333, Pik, Bube
1334, Pik, 9
1335, Pik, 10
1336, Herz, 10
1337, Pik, 4
1338, Kreuz, Bube
1339, Pik, Bube
1340, Kreuz, 3
1341, Kreuz, As
1342, Kreuz, As
1343, Kreuz, 2
1344, Karo, 2
1345, Herz, 2
1346, Herz, 4
1347, Pik, 6
1348, Kreuz, 7
1349, Karo, 5
1350, Karo, 3
1351, Karo, Bube
1352, Karo, 6
1353, Pik, 5
1354, Herz, As
1355, Pik, 5
1356, Kreuz, 2
1357, Kreuz, 10
1358, Kreuz, 10
1359, Kreuz, 7
1360, Karo, 3
1361, Kreuz, 3
1362, Karo, Bube
1363, Karo, 8
1364, Herz, 5
1365, Herz, Bube
1366, Pik, 9
1367, Kreuz, 5
1368, Pik, 4
1369, Karo, 3
1370, Kreuz, 6
1371, Pik, 6
1372, Pik, As
1373, Kreuz, 6
1374, Pik, Bube
1375, Karo, König
1376, Pik, 8
1377, Pik, As
1378, Pik, 5
1379, Karo, 2
1380, Karo, 10
1381, Herz, 2
1382, Kreuz, Dame
1383, Pik, 2
1384, Herz, 8
1385, Pik, 5
1386, Pik, As
1387, Herz, Dame
1388, Pik, 5
1389, Herz, 8
1390, Pik, 6
1391, Kreuz, 5
1392, Herz, Bube
1393, Karo, 5
1394, Herz, Bube
1395, Herz, As
1396, Karo, As
1397, Herz, 5
1398, Herz, 2
1399, Pik, 2
1400, Kreuz, 6
1401, Pik, 9
1402, Herz, Dame
1403, Kreuz, 4
1404, Karo, 7
1405, Karo, 2
1406, Herz, König
1407, Karo, 3
1408, Herz, 8
1409, Karo, 9
1410, Kreuz, 6
1411, Herz, 7
1412, Kreuz, 6
1413, Kreuz, 2
1414, Karo, 2
1415, Karo, 3
1416, Herz, Dame
1417, Pik, 4
1418, Pik, 4
1419, Pik, 2
1420, Karo, 8
1421, Herz, Bube
1422, Herz, As
