0, Kreuz, 3
203, Karo, 2
204, Pik, 7
205, Kreuz, 6
206, Pik, As
207, Kreuz, 3
208, Pik, König
209, Karo, 9
210, Herz, König
211, Kreuz, 6
212, Kreuz, Bube
213, Kreuz, 8
214, Herz, 6
215, Kreuz, 3
216, Kreuz, As
217, Kreuz, As
218, Herz, 2
219, Kreuz, 6
220, Kreuz, 6
221, Kreuz, 10
222, Herz, 10
223, Kreuz, 6
224, Pik, 7
225, Karo, 9
226, Pik, 5
227, Kreuz, 10
228, Pik, 2
229, Kreuz, Dame
230, Karo, 10
231, Karo, Bube
232, Pik, 4
233, Kreuz, Dame
234, Pik, 3
235, Karo, 3
236, Pik, Dame
237, Karo, 5
238, Karo, 9
239, Pik, 9
240, Kreuz, Bube
241, Karo, Bube
242, Kreuz, Dame
243, Herz, König
244, Kreuz, 2
245, Karo, 6
246, Pik, 9
247, Kreuz, 2
248, Kreuz, 10
249, Pik, 2
250, Herz, As
251, Karo, 5
252, Herz, 3
253, Karo, 2
254, Karo, 2
255, Pik, 4
256, Karo, 2
257, Kreuz, Dame
258, Kreuz, Bube
259, Herz, König
260, Pik, König
261, Herz, 3
262, Kreuz, 2
263, Herz, 9
264, Karo, Bube
265, Herz, 7
266, Herz, 6
267, Pik, Bube
268, Kreuz, As
269, Pik, Bube
270, Pik, 5
271, Karo, 6
272, Pik, 9
273, Pik, 2
274, Karo, 5
275, Karo, 5
276, Karo, 6
277, Pik, 9
278, Pik, 7
279, Pik, 4
280, Pik, 10
281, Karo, 6
282, Herz, König
283, Kreuz, Dame
284, Herz, 7
285, Pik, 10
286, Herz, Dame
287, Kreuz, 6
288, Pik, 2
289, Karo, 10
290, Pik, 3
291, Herz, 8
292, Karo, 7
293, Karo, 8
294, Karo, Bube
295, Herz, Dame
296, Karo, 8
297, Herz, 9
298, Kreuz, 6
299, Herz, 5
300, Kreuz, 3
301, Karo, 3
302, Herz, 4
303, Karo, Bube
304, Karo, 9
305, Karo, 3
306, Kreuz, 7
307, Herz, 10
308, Pik, König
309, Karo, 4
310, Herz, 2
311, Herz, 5
312, Herz, 7
313, Karo, 9
314, Kreuz, 8
315, Kreuz, 7
316, Pik, 2
317, Karo, 5
318, Karo, 2
319, Kreuz, 3
320, Pik, König
321, Pik, Bube
322, Pik, 6
323, Herz, 10
324, Herz, 6
325, Karo, 10
326, Karo, Bube
327, Karo, 9
328, Karo, 10
329, Kreuz, 7
330, Kreuz, 6
331, Herz, 4
332, Pik, 8
333, Kreuz, 2
334, Pik, 7
335, Herz, König
336, Herz, As
337, Kreuz, Dame
338, Herz, As
339, Pik, 10
340, Karo, 7
341, Herz, 5
342, Herz, 10
343, Kreuz, As
344, Kreuz, 2
345, Kreuz, 2
346, Karo, Bube
347, Herz, 8
348, Herz, As
349, Karo, 3
350, Herz, 7
351, Karo, As
352, Kreuz, 10
353, Herz, 10
354, Herz, 10
355, Karo, 10
356, Kreuz, 3
357, Kreuz, As
358, Karo, 8
359, Karo, 6
360, Karo, Dame
361, Pik, Bube
362, Pik, 8
363, Pik, 10
364, Karo, 2
365, Karo, 9
366, Karo, As
367, Pik, 6
368, Pik, 8
369, Karo, 7
370, Kreuz, 3
371, Kreuz, Dame
372, Herz, 8
373, Kreuz, As
374, Pik, 7
375, Herz, 3
376, Pik, 7
377, Herz, 10
378, Kreuz, 8
379, Karo, 9
380, Kreuz, 7
381, Kreuz, 3
382, Kreuz, Dame
383, Pik, 4
384, Herz, 4
385, Kreuz, König
386, Pik, 7
387, Karo, 8
388, Kreuz, König
389, Pik, 8
390, Karo, König
391, Karo, 4
392, Kreuz, 2
393, Kreuz, 9
394, Kreuz, As
395, Kreuz, 6
396, Karo, König
397, Pik, 8
398, Kreuz, 5
399, Karo, Bube
400, Herz, 6
401, Kreuz, 10
402, Kreuz, 6
403, Karo, 4
404, Karo, 10
405, Kreuz, 8
406, Kreuz, 5
407, Pik, 8
408, Herz, 6
409, Pik, 8
410, Pik, 5
411, Pik, As
412, Karo, As
413, Pik, 2
414, Pik, 7
415, Herz, 3
416, Karo, 8
417, Karo, 6
418, Herz, 7
419, Pik, 9
420, Pik, As
421, Herz, 4
422, Pik, Bube
423, Kreuz, Dame
424, Karo, Dame
425, Kreuz, As
426, Kreuz, 10
427, Pik, 8
428, Kreuz, 2
429, Karo, Dame
430, Herz, 9
431, Herz, 2
432, Karo, 10
433, Pik, 4
434, Herz, 10
435, Kreuz, Dame
436, Herz, 7
437, Karo, 9
438, Kreuz, 10
439, Kreuz, Dame
440, Kreuz, 9
441, Pik, 9
442, Herz, 4
443, Herz, 6
444, Karo, 6
445, Herz, 7
446, Herz, Bube
447, Kreuz, Dame
448, Kreuz, 6
449, Herz, Bube
450, Pik, König
451, Kreuz, König
452, Pik, König
453, Herz, 3
454, Pik, Dame
455, Karo, 2
456, Herz, Bube
457, Herz, 10
458, Kreuz, 5
459, Herz, Bube
460, Herz, 10
461, Pik, 3
462, Pik, Dame
463, Pik, Bube
464, Karo, 7
465, Kreuz, 2
466, Kreuz, As
467, Pik, 4
468, Pik, Bube
469, Herz, Dame
470, Karo, Bube
471, Herz, 6
472, Kreuz, Dame
473, Kreuz, 9
474, Herz, 5
475, Pik, 5
476, Herz, 7
477, Herz, 5
478, Herz, As
479, Pik, Dame
480, Pik, 2
481, Karo, 4
482, Kreuz, 5
483, Karo, 8
484, Pik, 7
485, Pik, 9
486, Pik, 3
487, Herz, 9
488, Pik, As
489, Pik, As
490, Pik, Dame
491, Karo, 6
492, Karo, 8
493, Kreuz, 4
494, Kreuz, Bube
495, Pik, 8
496, Herz, 10
497, Karo, König
498, Herz, 2
499, Karo, 8
500, Pik, Dame
501, Herz, 9
502, Herz, Dame
503, Pik, As
504, Pik, König
505, Herz, 7
506, Herz, 3
507, Kreuz, König
508, Kreuz, 5
509, Herz, 3
510, Pik, As
511, Herz, As
512, Pik, 2
513, Pik, Bube
514, Pik, 5
515, Karo, König
516, Herz, 9
517, Kreuz, 7
518, Kreuz, 8
519, Herz, 6
520, Herz, 9
521, Herz, 9
522, Karo, 6
523, Pik, 6
524, Kreuz, 5
525, Pik, König
526, Kreuz, 2
527, Karo, Dame
528, Kreuz, 3
529, Karo, Dame
530, Karo, 6
531, Herz, König
532, Pik, As
533, Pik, 3
534, Karo, As
535, Pik, 6
536, Pik, Bube
537, Karo, 6
538, Herz, 9
539, Karo, Dame
540, Herz, 7
541, Kreuz, 9
542, Pik, As
543, Pik, 4
544, Karo, 9
545, Herz, Dame
546, Kreuz, 7
547, Pik, 4
548, Herz, 8
549, Kreuz, As
550, Kreuz, 5
551, Kreuz, 4
552, Herz, 4
553, Karo, 9
554, Herz, 10
555, Herz, 9
556, Herz, 10
557, Karo, 10
558, Herz, 3
559, Kreuz, 8
560, Kreuz, 9
561, Kreuz, 2
562, Pik, 2
563, Karo, 8
564, Herz, 7
565, Pik, Bube
566, Karo, 9
567, Pik, As
568, Herz, König
569, Karo, Dame
570, Karo, 9
571, Kreuz, Dame
572, Karo, 2
573, Karo, 10
574, Kreuz, Dame
575, Kreuz, 8
576, Pik, 3
577, Karo, 10
578, Pik, As
579, Pik, 9
580, Kreuz, 2
581, Herz, 9
582, Pik, 3
583, Karo, Dame
584, Pik, 2
585, Herz, Dame
586, Pik, Bube
587, Karo, 6
588, Kreuz, 8
589, Pik, 3
590, Pik, Dame
591, Karo, 7
592, Kreuz, König
593, Kreuz, 3
594, Kreuz, 2
595, Herz, Bube
596, Herz, 8
597, Karo, 8
598, Herz, 2
599, Herz, 3
600, Karo, 7
601, Kreuz, 8
602, Pik, König
603, Herz, As
604, Kreuz, As
605, Herz, 2
606, Kreuz, 8
607, Pik, Bube
608, Herz, 8
609, Karo, 7
610, Kreuz, 3
611, Kreuz, 9
612, Herz, 2
613, Herz, 4
614, Herz, 9
615, Karo, 6
616, Herz, 4
617, Pik, 8
618, Pik, Bube
619, Herz, 10
620, Karo, As
621, Kreuz, 9
622, Herz, 7
623, Karo, 9
624, Karo, 8
625, Pik, 8
626, Kreuz, Dame
627, Herz, König
628, Herz, 7
629, Karo, König
630, Kreuz, 10
631, Pik, Dame
632, Pik, As
633, Kreuz, 9
634, Karo, 4
635, Kreuz, 10
636, Pik, Bube
637, Pik, Dame
638, Kreuz, 8
639, Karo, 5
640, Herz, Bube
641, Pik, 9
642, Pik, 3
643, Karo, König
644, Karo, 5
645, Herz, 9
646, Kreuz, 6
647, Herz, 8
648, Pik, Dame
649, Herz, 5
650, Herz, 2
651, Herz, 9
652, Pik, 4
653, Kreuz, 10
654, Pik, 3
655, Karo, 8
656, Herz, 4
657, Karo, König
658, Kreuz, 8
659, Kreuz, 8
660, Karo, 3
661, Herz, Dame
662, Kreuz, 9
663, Herz, 9
664, Pik, 6
665, Pik, Bube
666, Kreuz, 2
667, Pik, 7
668, Kreuz, 8
669, Pik, 2
670, Herz, 7
671, Karo, Bube
672, Karo, Dame
673, Pik, As
674, Karo, 2
675, Kreuz, 10
676, Herz, 5
677, Karo, König
678, Kreuz, 5
679, Pik, 9
680, Karo, 3
681, Pik, 10
682, Pik, 2
683, Pik, 3
684, Kreuz, 7
685, Karo, 5
686, Kreuz, 5
687, Kreuz, Bube
688, Pik, 7
689, Pik, 7
690, Kreuz, As
691, Kreuz, Dame
692, Pik, 7
693, Herz, 6
694, Karo, 6
695, Karo, As
696, Pik, 4
697, Karo, 7
698, Karo, As
699, Herz, Bube
700, Pik, Dame
701, Pik, 6
702, Pik, 4
703, Karo, 5
704, Kreuz, König
705, Karo, 8
706, Pik, 8
707, Pik, 4
708, Kreuz, 3
709, Herz, 2
710, Herz, As
711, Kreuz, 4
712, Pik, 3
713, Kreuz, 2
714, Herz, 4
715, Herz, Dame
716, Kreuz, 9
717, Karo, König
718, Herz, 10
719, Herz, Dame
720, Kreuz, 2
721, Herz, 10
722, Pik, 4
723, Herz, 10
724, Herz, 7
725, Herz, 9
726, Karo, 6
727, Herz, 7
728, Kreuz, 7
729, Herz, 10
730, Pik, Bube
731, Herz, Dame
732, Herz, 2
733, Karo, Dame
734, Herz, 8
735, Kreuz, 4
736, Pik, Dame
737, Pik, 10
738, Karo, As
739, Herz, König
740, Karo, 5
741, Herz, 4
742, Pik, 6
743, Karo, Dame
744, Pik, König
745, Herz, 2
746, Herz, 7
747, Karo, 3
748, Pik, 4
749, Karo, 4
750, Kreuz, 2
751, Kreuz, 2
752, Karo, 6
753, Karo, 2
754, Karo, 6
755, Pik, König
756, Pik, 9
757, Karo, 3
758, Pik, As
759, Herz, König
760, Karo, 5
761, Kreuz, As
762, Kreuz, 9
763, Kreuz, As
764, Pik, Dame
765, Kreuz, König
766, Karo, Bube
767, Karo, 6
768, Pik, 4
769, Pik, As
770, Herz, 10
771, Pik, 5
772, Pik, 2
773, Herz, As
774, Herz, 3
775, Kreuz, 5
776, Herz, 3
777, Herz, 3
778, Pik, 3
779, Karo, 10
780, Karo, 9
781, Kreuz, 8
782, Kreuz, 2
783, Kreuz, 2
784, Karo, 7
785, Herz, 6
786, Pik, 7
787, Kreuz, 6
788, Herz, 10
789, Pik, 7
790, Pik, 7
791, Karo, 3
792, Kreuz, 2
793, Kreuz, 3
794, Karo, 7
795, Karo, 5
796, Herz, Dame
797, Pik, 3
798, Herz, 8
799, Pik, 5
800, Pik, 3
801, Karo, 10
802, Karo, 10
803, Herz, 4
804, Herz, 4
805, Kreuz, 7
806, Kreuz, 8
807, Herz, 6
808, Karo, 10
809, Pik, 2
810, Kreuz, 7
811, Herz, 4
812, Karo, 2
813, Herz, König
814, Pik, 2
815, Pik, 8
816, Kreuz, 7
817, Herz, 2
818, Karo, 9
819, Kreuz, Bube
820, Karo, 4
821, Pik, 2
822, Kreuz, 5
823, Karo, Dame
824, Kreuz, 10
825, Karo, As
826, Herz, Bube
827, Pik, 6
828, Herz, 8
829, Herz, 6
830, Karo, 3
831, Herz, 6
832, Kreuz, Bube
833, Karo, König
834, Pik, 8
835, Pik, Bube
836, Kreuz, 8
837, Pik, 7
838, Herz, 2
839, Kreuz, 9
840, Pik, 9
841, Kreuz, As
842, Kreuz, As
843, Pik, 3
844, Kreuz, 9
845, Karo, Dame
846, Herz, Dame
847, Karo, 6
848, Karo, 10
849, Karo, Dame
850, Kreuz, 7
851, Herz, Dame
852, Karo, 9
853, Pik, 3
854, Pik, As
855, Herz, 9
856, Karo, 3
857, Kreuz, Dame
858, Herz, 10
859, Kreuz, 4
860, Herz, Dame
861, Kreuz, 2
862, Kreuz, König
863, Herz, 6
864, Kreuz, Bube
865, Herz, As
866, Pik, 5
867, Pik, Bube
868, Pik, 3
869, Pik, 10
870, Herz, 4
871, Herz, 5
872, Pik, 6
873, Pik, 2
874, Kreuz, As
875, Herz, As
876, Karo, Bube
877, Herz, Bube
878, Kreuz, 9
879, Karo, 10
880, Kreuz, 6
881, Pik, 9
882, Pik, 5
883, Herz, As
884, Kreuz, 4
885, Pik, 2
886, Herz, As
887, Herz, 8
888, Kreuz, 6
889, Kreuz, 6
890, Herz, Bube
891, Herz, Bube
892, Pik, As
893, Pik, 2
894, Kreuz, König
895, Pik, König
896, Pik, 2
897, Herz, 7
898, Pik, Dame
899, Herz, 3
900, Pik, 7
901, Karo, 4
902, Pik, 7
903, Herz, 2
904, Pik, 4
905, Herz, 7
906, Pik, 2
907, Kreuz, 9
908, Karo, Bube
909, Karo, König
910, Kreuz, 5
911, Karo, 4
912, Kreuz, 3
913, Karo, Bube
914, Herz, 5
915, Herz, 10
916, Herz, 10
917, Pik, 2
918, Herz, 8
919, Pik, 10
920, Herz, 8
921, Karo, 10
922, Karo, 10
923, Pik, 4
924, Kreuz, 3
925, Karo, König
926, Karo, König
927, Karo, 7
928, Herz, As
929, Pik, Bube
930, Karo, Dame
931, Pik, 4
932, Karo, 4
933, Herz, Dame
934, Herz, 7
935, Herz, 7
936, Karo, 2
937, Kreuz, As
938, Pik, Dame
939, Kreuz, 2
940, Herz, 10
941, Herz, 8
942, Pik, 7
943, Kreuz, 8
944, Herz, 3
945, Kreuz, 3
946, Kreuz, 9
947, Pik, König
948, Herz, 9
949, Karo, 9
950, Herz, 4
951, Herz, König
952, Kreuz, Dame
953, Pik, As
954, Pik, 4
955, Herz, König
956, Herz, 5
957, Herz, As
958, Herz, 9
959, Pik, Dame
960, Pik, 9
961, Pik, 6
962, Karo, König
963, Herz, 3
964, Kreuz, Dame
965, Karo, 9
966, Herz, Bube
967, Karo, 4
968, Karo, 4
969, Pik, 4
970, Pik, 9
971, Karo, 5
972, Herz, 6
973, Karo, 5
974, Herz, 7
975, Herz, 9
976, Pik, 7
977, Herz, 5
978, Pik, Dame
979, Kreuz, Dame
980, Herz, Dame
981, Karo, As
982, Herz, 8
983, Kreuz, 4
984, Pik, Bube
985, Pik, König
986, Herz, 9
987, Pik, 7
988, Karo, 7
989, Karo, 9
990, Pik, Bube
991, Herz, 3
992, Kreuz, 2
993, Kreuz, 9
994, Herz, 7
995, Pik, As
996, Pik, 8
997, Pik, 3
998, Pik, 2
999, Herz, 2
1000, Kreuz, 10
1001, Karo, 4
1002, Kreuz, 3
1003, Pik, 7
1004, Kreuz, 2
1005, Karo, 3
1006, Karo, 5
1007, Pik, As
1008, Karo, 6
1009, Kreuz, 10
1010, Karo, Bube
1011, Kreuz, König
1012, Herz, As
1013, Karo, 4
1014, Kreuz, As
1015, Pik, As
1016, Pik, 5
1017, Herz, 4
1018, Kreuz, As
1019, Kreuz, 10
1020, Pik, 10
1021, Herz, König
1022, Kreuz, 6
1023, Karo, 2
1024, Karo, 10
1025, Pik, König
1026, Pik, 6
1027, Karo, Bube
1028, Herz, König
1029, Herz, 3
1030, Karo, König
1031, Kreuz, 3
1032, Kreuz, 9
1033, Karo, König
1034, Herz, König
1035, Herz, 4
1036, Kreuz, 9
1037, Kreuz, 7
1038, Pik, 4
1039, Herz, Bube
1040, Karo, 4
1041, Karo, 10
1042, Pik, 9
1043, Herz, As
1044, Herz, 9
1045, Karo, König
1046, Pik, Bube
1047, Herz, 8
1048, Pik, 7
1049, Karo, 10
1050, Kreuz, 4
1051, Karo, 10
1052, Kreuz, Bube
1053, Kreuz, 8
1054, Pik, 3
1055, Herz, 3
1056, Kreuz, As
1057, Pik, König
1058, Karo, 5
1059, Kreuz, 10
1060, Karo, 2
1061, Pik, König
1062, Karo, 5
1063, Pik, 7
1064, Pik, 3
1065, Pik, 2
1066, Herz, 8
1067, Pik, 9
1068, Pik, 10
1069, Pik, 7
1070, Pik, 10
1071, Herz, Bube
1072, Karo, 8
1073, Karo, As
1074, Karo, 8
1075, Pik, Bube
1076, Kreuz, As
1077, Pik, 10
1078, Herz, 9
1079, Herz, 5
1080, Herz, 6
1081, Herz, 9
1082, Pik, 2
1083, Karo, 4
1084, Karo, 5
1085, Herz, König
1086, Karo, 3
1087, Herz, 8
1088, Herz, 10
1089, Herz, Dame
1090, Kreuz, 10
1091, Pik, Bube
1092, Herz, Dame
1093, Karo, 5
1094, Herz, 10
1095, Herz, 4
1096, Karo, König
1097, Pik, 7
1098, Kreuz, 5
1099, Pik, 9
1100, Kreuz, 10
1101, Kreuz, 7
1102, Pik, 2
1103, Pik, Dame
1104, Pik, 4
1105, Herz, 4
1106, Kreuz, 2
1107, Karo, 10
1108, Karo, 2
1109, Kreuz, 10
1110, Kreuz, As
1111, Karo, 6
1112, Kreuz, Bube
1113, Kreuz, Dame
1114, Kreuz, 4
1115, Pik, Dame
1116, Kreuz, 5
1117, Herz, 7
1118, Herz, 9
1119, Kreuz, 4
1120, Herz, 7
1121, Karo, 8
1122, Pik, 8
1123, Karo, Dame
1124, Karo, 7
1125, Herz, 2
1126, Karo, 3
1127, Herz, König
1128, Herz, König
1129, Kreuz, Bube
1130, Kreuz, 5
1131, Kreuz, 10
1132, Karo, 5
1133, Karo, 3
1134, Kreuz, 10
1135, Herz, 2
1136, Karo, As
1137, Pik, 2
1138, Karo, Bube
1139, Karo, 10
1140, Kreuz, 10
1141, Kreuz, 6
1142, Karo, 5
1143, Karo, 10
1144, Pik, 3
1145, Herz, Dame
1146, Karo, Dame
1147, Karo, 4
1148, Karo, Bube
1149, Herz, 3
1150, Pik, 8
1151, Herz, 8
1152, Pik, As
1153, Karo, 7
1154, Kreuz, 7
1155, Herz, 8
1156, Karo, 4
1157, Kreuz, 3
1158, Karo, 3
1159, Karo, Bube
1160, Karo, 7
1161, Kreuz, 2
1162, Pik, 3
1163, Kreuz, König
1164, Pik, 10
1165, Kreuz, 4
1166, Karo, 4
1167, Herz, 4
1168, Kreuz, 4
1169, Herz, Dame
1170, Pik, 4
1171, Herz, 10
1172, Kreuz, 9
1173, Kreuz, 10
1174, Pik, As
1175, Karo, 2
1176, Herz, 8
1177, Kreuz, 6
1178, Herz, Bube
1179, Karo, Bube
1180, Herz, 8
1181, Herz, Bube
1182, Herz, 7
1183, Karo, 7
1184, Herz, 8
1185, Pik, Dame
1186, Karo, 5
1187, Herz, 10
1188, Pik, 8
1189, Herz, 5
1190, Kreuz, 2
1191, Karo, Dame
1192, Pik, Dame
1193, Kreuz, 3
1194, Kreuz, König
1195, Kreuz, Dame
1196, Pik, König
1197, Pik, König
1198, Kreuz, 3
1199, Pik, 5
1200, Kreuz, Dame
1201, Herz, Bube
1202, Pik, 7
1203, Kreuz, 10
1204, Herz, As
1205, Kreuz, 4
1206, Pik, 9
1207, Pik, 5
1208, Pik, 2
1209, Kreuz, 2
1210, Kreuz, König
1211, Karo, 3
1212, Herz, 4
1213, Pik, 7
1214, Karo, Bube
1215, Pik, 10
1216, Pik, 8
1217, Herz, 2
1218, Pik, As
1219, Karo, Bube
1220, Herz, 6
1221, Kreuz, 3
1222, Herz, 3
1223, Karo, 9
1224, Kreuz, Bube
1225, Pik, 10
1226, Karo, 8
1227, Kreuz, 5
1228, Herz, 9
1229, Kreuz, 9
1230, Pik, 9
1231, Karo, 2
1232, Kreuz, As
1233, Kreuz, 10
1234, Pik, König
1235, Karo, 2
1236, Herz, 5
1237, Kreuz, 10
1238, Herz, 10
1239, Karo, 3
1240, Kreuz, 6
1241, Kreuz, 8
1242, Karo, König
1243, Kreuz, Bube
1244, Herz, 6
1245, Pik, Bube
1246, Kreuz, 6
1247, Pik, Dame
1248, Karo, 6
1249, Karo, As
1250, Herz, 9
1251, Kreuz, As
1252, Karo, 10
1253, Herz, 7
1254, Herz, As
1255, Herz, 6
1256, Kreuz, As
1257, Pik, 2
1258, Karo, 9
1259, Herz, 8
1260, Pik, 9
1261, Karo, Bube
1262, Herz, 7
1263, Karo, 9
1264, Pik, Dame
1265, Pik, Bube
1266, Kreuz, Dame
1267, Pik, Bube
1268, Herz, 6
1269, Karo, 3
1270, Karo, 10
1271, Karo, As
1272, Herz, 7
1273, Pik, 3
1274, Pik, Dame
1275, Karo, 8
1276, Karo, 3
1277, Herz, 6
1278, Karo, Dame
1279, Karo, 7
1280, Karo, 9
1281, Karo, 5
1282, Kreuz, Bube
1283, Pik, 4
1284, Pik, As
1285, Karo, As
1286, Pik, Dame
1287, Pik, 2
1288, Herz, 5
1289, Pik, As
1290, Karo, 10
1291, Herz, 9
1292, Karo, 4
1293, Pik, 7
1294, Herz, 9
1295, Pik, 4
1296, Karo, 3
1297, Karo, 2
1298, Pik, 8
1299, Kreuz, 6
1300, Pik, 5
1301, Pik, 6
1302, Herz, König
1303, Karo, 3
1304, Karo, 10
1305, Kreuz, 4
1306, Pik, 6
1307, Karo, Bube
1308, Kreuz, 10
1309, Kreuz, As
1310, Pik, König
1311, Pik, Dame
1312, Pik, 5
1313, Karo, 3
1314, Pik, 5
1315, Pik, 6
1316, Kreuz, 3
1317, Karo, 3
1318, Herz, 7
1319, Karo, 7
1320, Herz, 10
1321, Pik, 9
1322, Herz, Bube
1323, Pik, 6
1324, Herz, 8
1325, Karo, 7
1326, Pik, 10
1327, Karo, 3
1328, Herz, 9
1329, Pik, 4
1330, Kreuz, 5
1331, Karo, König
1332, Kreuz, 5
1333, Herz, As
1334, Herz, 2
1335, Kreuz, 2
1336, Karo, 5
1337, Kreuz, König
1338, Pik, 7
1339, Pik, König
1340, Herz, 10
1341, Kreuz, 7
1342, Pik, 3
1343, Herz, 4
1344, Herz, Bube
1345, Herz, Bube
1346, Herz, Dame
1347, Kreuz, 3
1348, Karo, 8
1349, Herz, König
1350, Herz, As
1351, Pik, 7
1352, Herz, Bube
1353, Karo, König
1354, Karo, 9
1355, Pik, Dame
1356, Karo, 3
1357, Herz, 6
1358, Herz, 7
1359, Karo, 7
1360, Pik, 8
1361, Pik, As
1362, Herz, 3
1363, Kreuz, 2
1364, Pik, 7
1365, Karo, 5
1366, Herz, 8
1367, Herz, 3
1368, Karo, 2
1369, Pik, Dame
1370, Pik, 5
1371, Pik, 8
1372, Kreuz, Dame
1373, Herz, 2
1374, Pik, 2
1375, Kreuz, 3
1376, Herz, 7
1377, Kreuz, Dame
1378, Pik, 4
1379, Pik, 9
1380, Pik, Bube
1381, Herz, König
1382, Pik, 5
1383, Herz, 9
1384, Kreuz, 10
1385, Karo, 6
1386, Karo, 3
1387, Kreuz, Dame
1388, Karo, Dame
1389, Herz, 4
1390, Herz, 7
1391, Pik, König
1392, Pik, 4
1393, Kreuz, 6
1394, Pik, 4
1395, Kreuz, 10
1396, Herz, 6
1397, Karo, 6
1398, Pik, Dame
1399, Pik, 6
1400, Karo, 10
1401, Kreuz, 2
1402, Pik, Bube
1403, Pik, 8
1404, Kreuz, 3
1405, Karo, 5
1406, Herz, König
1407, Kreuz, 6
1408, Karo, König
1409, Karo, König
1410, Herz, 8
1411, Kreuz, 8
1412, Herz, 9
1413, Kreuz, König
1414, Pik, 9
1415, Kreuz, 2
1416, Kreuz, 8
1417, Herz, 8
1418, Herz, 2
1419, Kreuz, 2
1420, Pik, Dame
1421, Herz, 4
1422, Kreuz, 10
1423, Herz, Bube
1424, Pik, 10
1425, Karo, 3
1426, Pik, 5
1427, Herz, 9
1428, Karo, Bube
1429, Karo, 4
